,Unnamed: 0,name,url,food_details,rating,review_number,longitude,latitude,price,food_category,weighted_rating,rating_group,price_category,rest_details
482,482,Harumi 23,https://foodpanda.my/restaurant/s1ea/harumi-23,['Asian'],4.4,98,101.6355209,3.1861704,3,Japanese,4.43,4.30-4.49,Expensive,Asian
483,483,Bask bear coffee kepong laman rimbunan,https://foodpanda.my/restaurant/smbj/bask-bear-coffee-kepong-laman-rimbunan,"['Snacks', 'Beverages']",4.5,61,101.6479522,3.2120711,3,Beverages,4.47,4.30-4.49,Expensive,"Snacks, Beverages"
484,484,Finger lickin food,https://foodpanda.my/restaurant/c6up/finger-lickin-food,"['Noodles', 'Beverages', 'Asian']",3.8,51,101.6254779,3.202766,1,Malay,4.23,4.00-4.29,Cheap,"Noodles, Beverages, Asian"
485,485,Rafik curry house,https://foodpanda.my/restaurant/v7ju/rafik-curry-house,"['Noodles', 'Beverages', 'Rice Dishes', 'Indian']",3.8,19,101.6505736,3.2057112,1,Mamak,4.35,4.30-4.49,Cheap,"Noodles, Beverages, Rice Dishes, Indian"
486,486,Sate king at warung king,https://foodpanda.my/restaurant/j0jt/sate-king-at-warung-king,"['Chicken', 'Malaysian food', 'Meat']",4.5,210,101.6297525,3.1935821,1,Malay,4.48,4.30-4.49,Cheap,"Chicken, Malaysian food, Meat"
487,487,Tu wei tai shi bian dang too bento,https://foodpanda.my/restaurant/e8zl/tu-wei-tai-shi-bian-dang-too-bento,['Asian'],4.5,744,101.65274415,3.18944475,3,Chinese,4.49,4.30-4.49,Expensive,Asian
488,488,Handmade dumplings zhong guo shou gong jiao zi,https://foodpanda.my/restaurant/y5nm/handmade-dumplings-zhong-guo-shou-gong-jiao-zi,"['Noodles', 'Soups', 'Chinese']",4.4,49,101.650577,3.1891251,3,Chinese,4.43,4.30-4.49,Expensive,"Noodles, Soups, Chinese"
489,489,Salt and spice aeon metro prima,https://foodpanda.my/restaurant/e9lu/salt-and-spice-aeon-metro-prima,"['Noodles', 'Healthy Food', 'Rice Dishes', 'Malaysian food', 'Asian']",4.5,42,101.6385223,3.213575,3,International,4.47,4.30-4.49,Expensive,"Noodles, Healthy Food, Rice Dishes, Malaysian food, Asian"
490,490,Togather kepong ,https://foodpanda.my/restaurant/p5nv/togather-kepong-,"['Chicken', 'Rice Dishes', 'Malaysian food']",4.4,582,101.651755,3.210561,3,International,4.41,4.30-4.49,Expensive,"Chicken, Rice Dishes, Malaysian food"
491,491,De pastry chef manjalara,https://foodpanda.my/restaurant/n3sf/de-pastry-chef-manjalara,"['Cakes', 'Beverages', 'Western']",4.2,1803,101.625,3.19272995,2,International,4.21,4.00-4.29,Moderate,"Cakes, Beverages, Western"
